iter	Passed	Remaining
0	139	139159
1	140	70281
2	141	47161
3	142	35501
4	143	28477
5	144	23889
6	146	20718
7	147	18245
8	149	16427
9	150	14917
10	151	13645
11	152	12588
12	154	11750
13	155	10946
14	156	10286
15	158	9736
16	160	9281
17	162	8851
18	163	8465
19	165	8113
20	167	7792
21	168	7484
22	169	7215
23	170	6952
24	172	6720
25	173	6505
26	174	6302
27	176	6112
28	177	5954
29	178	5787
30	180	5631
31	180	5472
32	181	5330
33	182	5193
34	183	5062
35	184	4947
36	185	4833
37	186	4727
38	187	4619
39	188	4516
40	188	4419
41	189	4324
42	190	4236
43	191	4154
44	191	4073
45	192	3997
46	193	3922
47	194	3848
48	194	3780
49	195	3713
50	196	3647
51	196	3586
52	197	3527
53	197	3468
54	198	3413
55	199	3359
56	199	3306
57	200	3255
58	201	3206
59	201	3157
60	202	3109
61	202	3064
62	203	3022
63	203	2980
64	204	2939
65	204	2900
66	205	2861
67	206	2823
68	206	2786
69	207	2751
70	207	2717
71	208	2683
72	208	2650
73	209	2619
74	209	2587
75	210	2557
76	210	2527
77	211	2498
78	211	2470
79	212	2444
80	213	2416
81	213	2390
82	213	2361
83	214	2336
84	214	2312
85	215	2289
86	216	2270
87	216	2248
88	217	2226
89	217	2204
90	218	2183
91	219	2162
92	219	2142
93	220	2122
94	220	2102
95	221	2083
96	221	2064
97	222	2046
98	222	2028
99	223	2010
100	223	1993
101	224	1976
102	225	1959
103	225	1942
104	226	1927
105	226	1911
106	227	1895
107	227	1880
108	228	1866
109	228	1852
110	230	1843
111	230	1829
112	231	1815
113	231	1801
114	232	1787
115	232	1774
116	233	1760
117	233	1747
118	234	1734
119	234	1722
120	235	1710
121	235	1697
122	236	1685
123	236	1673
124	237	1662
125	238	1650
126	238	1639
127	238	1627
128	239	1617
129	240	1606
130	240	1596
131	241	1586
132	241	1576
133	242	1565
134	242	1556
135	243	1546
136	243	1536
137	244	1526
138	244	1517
139	245	1508
140	246	1499
141	246	1489
142	246	1480
143	247	1471
144	248	1462
145	248	1454
146	249	1445
147	249	1437
148	250	1429
149	250	1421
150	251	1413
151	251	1405
152	252	1398
153	253	1390
154	253	1383
155	254	1375
156	254	1368
157	255	1362
158	256	1355
159	256	1348
160	257	1340
161	257	1333
162	258	1326
163	258	1319
164	259	1313
165	260	1306
166	260	1299
167	261	1293
168	261	1286
169	262	1280
170	262	1274
171	263	1267
172	263	1261
173	264	1254
174	264	1248
175	265	1242
176	266	1237
177	266	1230
178	267	1225
179	267	1219
180	268	1213
